,Name,GLB ifmap(KiB),GLB filter(KiB),GLB psum(KiB),GLB total(KiB),MACs (G),GLB access (MiB),Dram access (MiB),n,e,r,q,p,t,m,rt,latency
153,Alexnet.conv3,1.7578125,0.5625,21.125,23.4453125,0.605749248,66.60791015625,1.31103515625,4,13,1,2,16,2,32,0,694004736.0
154,Alexnet.conv3,1.7578125,0.28125,21.125,23.1640625,0.605749248,69.24462890625,1.31103515625,4,13,1,2,16,1,32,0,710593536.0
155,Alexnet.conv3,1.7578125,0.28125,21.125,23.1640625,0.61341696,69.24462890625,1.31103515625,4,13,2,1,16,1,32,0,710593536.0
156,Alexnet.conv3,10.546875,1.6875,10.5625,22.796875,0.601915392,16.43212890625,1.31103515625,4,13,3,4,16,1,16,0,378326016.0
157,Alexnet.conv3,10.546875,1.6875,10.5625,22.796875,0.603193344,16.43212890625,1.31103515625,4,13,4,3,16,1,16,0,378326016.0
158,Alexnet.conv3,0.87890625,0.5625,21.125,22.56640625,0.61341696,128.66455078125,1.31103515625,4,13,1,1,16,4,32,0,1084431360.0
159,Alexnet.conv3,0.87890625,0.421875,21.125,22.42578125,0.61341696,129.10400390625,1.31103515625,4,13,1,1,16,3,32,0,1087196160.0
160,Alexnet.conv3,0.87890625,0.28125,21.125,22.28515625,0.61341696,129.98291015625,1.31103515625,4,13,1,1,16,2,32,0,1092725760.0
161,Alexnet.conv3,0.87890625,0.140625,21.125,22.14453125,0.61341696,132.61962890625,1.31103515625,4,13,1,1,16,1,32,0,1109314560.0
162,Alexnet.conv3,7.03125,2.25,10.5625,19.84375,0.601915392,19.07666015625,1.31103515625,4,13,2,4,16,2,16,0,394963968.0
163,Alexnet.conv3,7.91015625,1.265625,10.5625,19.73828125,0.603193344,19.952962239583332,1.31103515625,4,13,3,3,16,1,16,0,400477184.0
164,Alexnet.conv3,7.03125,1.125,10.5625,18.71875,0.605749248,21.71337890625,1.31103515625,4,13,4,2,16,1,16,0,411552768.0
165,Alexnet.conv3,7.03125,1.125,10.5625,18.71875,0.601915392,21.71337890625,1.31103515625,4,13,2,4,16,1,16,0,411552768.0
166,Alexnet.conv3,5.2734375,1.6875,10.5625,17.5234375,0.603193344,24.35791015625,1.31103515625,4,13,2,3,16,2,16,0,428190720.0
167,Alexnet.conv3,5.2734375,0.84375,10.5625,16.6796875,0.605749248,26.99462890625,1.31103515625,4,13,3,2,16,1,16,0,444779520.0
168,Alexnet.conv3,5.2734375,0.84375,10.5625,16.6796875,0.603193344,26.99462890625,1.31103515625,4,13,2,3,16,1,16,0,444779520.0
169,Alexnet.conv3,3.515625,2.25,10.5625,16.328125,0.601915392,33.60205078125,1.31103515625,4,13,1,4,16,4,16,0,486349824.0
170,Alexnet.conv3,3.515625,1.6875,10.5625,15.765625,0.601915392,34.04150390625,1.31103515625,4,13,1,4,16,3,16,0,489114624.0
171,Alexnet.conv3,3.515625,1.125,10.5625,15.203125,0.605749248,34.92041015625,1.31103515625,4,13,2,2,16,2,16,0,494644224.0
